,index,LA,action,,,,,
0,1,0.033,Keep the current maintenance,,,,,
1,2,0.018,Keep the current maintenance,,,,,
2,3,0.195,Keep the current maintenance,,,,,
3,4,0.012,Keep the current maintenance,,,,0.160475771,mean
4,5,0.01,Keep the current maintenance,,,,0.128248769,std
5,6,0.308,Keep the current maintenance,,,,,
6,7,0.228,Keep the current maintenance,,,,,
7,8,0.198,Keep the current maintenance,,,,,
8,9,0.186,Keep the current maintenance,,,,,
9,10,0.162,Keep the current maintenance,,,,,
10,11,0.174,Keep the current maintenance,,,,,
11,12,0.019,Keep the current maintenance,,,,,
12,13,0.014,Keep the current maintenance,,,,,
13,14,0.037,Keep the current maintenance,,,,,
14,15,0.301,Keep the current maintenance,,,,,
15,16,0.328,Keep the current maintenance,,,,,
16,17,0.244,Keep the current maintenance,,,,,
17,18,0.237,Keep the current maintenance,,,,,
18,19,0.179,Keep the current maintenance,,,,,
19,20,0.022,Keep the current maintenance,,,,,
20,21,0.254,Keep the current maintenance,,,,,
21,22,0.036,Keep the current maintenance,,,,,
22,23,0.259,Keep the current maintenance,,,,,
23,24,0.251,Keep the current maintenance,,,,,
24,25,0.272,Keep the current maintenance,,,,,
25,26,0.23,Keep the current maintenance,,,,,
26,27,0.247,Keep the current maintenance,,,,,
27,28,0.199,Keep the current maintenance,,,,,
28,29,0.013,Keep the current maintenance,,,,,
29,30,0.03,Keep the current maintenance,,,,,
30,31,0.007,Keep the current maintenance,,,,,
31,32,0.285,Keep the current maintenance,,,,,
32,33,0.292,Keep the current maintenance,,,,,
33,34,0.037,Keep the current maintenance,,,,,
34,35,0.039,Keep the current maintenance,,,,,
35,36,0.271,Keep the current maintenance,,,,,
36,37,0.196,Keep the current maintenance,,,,,
37,38,0.16,Keep the current maintenance,,,,,
38,39,0.008,Keep the current maintenance,,,,,
39,40,0.009,Keep the current maintenance,,,,,
40,41,0.249,Keep the current maintenance,,,,,
41,42,0.197,Keep the current maintenance,,,,,
42,43,0.296,Keep the current maintenance,,,,,
43,44,0.235,Keep the current maintenance,,,,,
44,45,0.071,Keep the current maintenance,,,,,
45,46,0.011,Keep the current maintenance,,,,,
46,47,0.326,Keep the current maintenance,,,,,
47,48,0.225,Keep the current maintenance,,,,,
48,49,0.241,Keep the current maintenance,,,,,
